tokenAddress,name,symbol,logo,decimals,priceNative,priceUsd,liquidity,fullyDilutedValuation,createdAt,age_minutes,trackable
3J3VpfiUVP5zd1A9dqNFbDABzXRz44isyPGX382Upump,RooWifMuscles,roowif,,6,0.0000000279704,0.000004471,9593.520895958,4471,2025-06-03T07:31:42.000Z,3.1,True
BaUqfhFbtrsvXNCGGjxorku2xq84VtNESaoUKGvRpump,JUST UP,UP,,6,0.0000000279679,0.000004470,9593.107642498,4470,2025-06-03T07:31:37.000Z,3.2,True
7HgnX4KD2zC1BWUSYGmEVBJ7W8v8DVp7iL6myGz7pump,Donkey,Donkey,,6,0.0000000279978,0.000004475,9598.23191019,4475,2025-06-03T07:31:35.000Z,3.3,True
7EoNCCk7fHqp86a8moBzFTXP6aEscPQsyBmaXSovZjCT,BUSTED DOUBAO,BUSTEDCAPY,,6,0.0000000279610,0.000004469,9590.542942046,4469,2025-06-03T07:31:32.000Z,3.3,True
H9zQfYfzVSbNrjCxrNn5vUnJDm1ay221zK5bWPx3pump,purrpeptrator,purrp,,6,0.0000000280763,0.000004491,9617.976469834,4491,2025-06-03T07:31:25.000Z,3.4,True
5pRoJKXbbb4p2npWRehfEs1DFMGkarpay12E3is5pump,ハル,Haru,,6,0.0000000279704,0.000004474,9599.817768938,4474,2025-06-03T07:31:20.000Z,3.5,True
yMf4s7eemyZiYG3XpS5VCpWHQvPVJ9CCwUemRDbpump,I Can Do Miracles,ICDM,,6,0.0000000285153,0.000004561,9692.887396664,4561,2025-06-03T07:31:19.000Z,3.5,True
FjbS157m3cfw6N7WJWWdvVMkLoPVhM4L7Aw4Sm8zpump,"Charts nuking, its fine",ITSFINE,,6,0.0000000279704,0.000004474,9599.817788134,4474,2025-06-03T07:31:18.000Z,3.5,True
AzAgq3mTWpsKaXDsKZge1Wja25kCLX9nxD9Ym9kFpump,slime dog,slimedog,,6,0.0000000375974,0.000006012,11127.132799642,6012,2025-06-03T07:31:18.000Z,3.5,True
AiPJyHRQ9nYhGej8zwKL4vnV24sJhfRVYAzTFi8Mpump,Justice For Ted,Ted,,6,0.0000000282604,0.000004520,9649.46225353,4520,2025-06-03T07:31:16.000Z,3.6,True
72qqg4Lcz4eqs6fBgkMj6wu2Jydh9A9VjXsAJWQupump,Puchi-kun the Pekingese,Puchi,,6,0.0000000301760,0.000004825,9968.804729126,4825,2025-06-03T07:31:11.000Z,3.7,True
Bh4PttobhZTZ9Amvg5nXwHr9Hu1GkiaTnhp5BL2BLk7q,Buy if u drank ur mum titty milk,MILK,,6,0.0000000280138,0.000004478,9601.886798258,4478,2025-06-03T07:31:00.000Z,3.8,True
GhudPfMzszs4NsVAMp6XcjuUNeKhVRZkNSCW3Ygdpump,Ruma Real Name,Grandpa,,6,0.0000000279676,0.000004471,9593.961919516,4471,2025-06-03T07:30:54.000Z,3.9,True
Cwoi3bjqpqzZq9T9bdivuAikDCL4yvkah4CDsDaipump,Curvenccy,Curvenccy,,6,0.0000000280848,0.000004490,9614.81799897,4490,2025-06-03T07:30:46.000Z,4.1,True
3949ANimLnshtwh2wuTxWeprxQzpShgFBycEZCncpump,TimeToken,TT,,6,0.0000000279610,0.000004470,9592.42615786,4470,2025-06-03T07:30:43.000Z,4.1,True
3Gn557nq5LmyB6tucL6NLmAWRX7FzjKFveQaNGNTpump,you can't escape this,TAX,,6,0.0000000281222,0.000004496,9620.448896174,4496,2025-06-03T07:30:41.000Z,4.2,True
5sLai95bmdibmbEQgDp7o95Lj8jjKWR3BnNYecz6pump,Chill Mask,ChillMask,,6,0.0000000313915,0.000005020,10167.039671172,5020,2025-06-03T07:30:37.000Z,4.2,True
