2025-06-06 17:29:35,088 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 17:29:35,089 | INFO | 🚀 spawn tracker 5V4sFKk8
2025-06-06 17:29:35,093 | INFO | 🚀 spawn tracker jVYhqHAi
2025-06-06 17:29:35,096 | INFO | 🚀 spawn tracker C72LyUD7
2025-06-06 17:29:35,099 | INFO | 🚀 spawn tracker 9yX5bFGB
2025-06-06 17:29:35,102 | INFO | 🚀 spawn tracker DMLvUz6W
2025-06-06 17:29:35,105 | INFO | 🚀 spawn tracker 2jSUDB5B
2025-06-06 17:29:35,108 | INFO | 🚀 spawn tracker Gph8X8BN
2025-06-06 17:29:35,113 | INFO | 🚀 spawn tracker EPgbwkbk
2025-06-06 17:29:35,136 | INFO | 🚀 spawn tracker DWfdRjd2
2025-06-06 17:29:35,269 | INFO | 🚀 spawn tracker 9JQxvrrX
2025-06-06 17:29:35,281 | INFO | 🚀 spawn tracker 6JCG2URp
2025-06-06 17:29:35,317 | INFO | 🚀 spawn tracker ESwk5Yki
2025-06-06 17:29:35,326 | INFO | 🚀 spawn tracker HpAMerPy
2025-06-06 17:29:35,350 | INFO | 🚀 spawn tracker F6ph95xN
2025-06-06 17:29:35,367 | INFO | 🚀 spawn tracker BXv18EDd
2025-06-06 17:29:35,374 | INFO | 📊 active trackers: 15
2025-06-06 17:30:09,519 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 17:30:09,521 | INFO | 📊 active trackers: 15
2025-06-06 17:30:43,849 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 17:30:43,851 | INFO | 📊 active trackers: 15
2025-06-06 17:31:16,167 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 17:31:16,168 | INFO | 📊 active trackers: 15
2025-06-06 17:31:48,505 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 17:31:48,507 | INFO | 📊 active trackers: 15
2025-06-06 17:35:06,921 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 17:35:06,923 | INFO | 🚀 spawn tracker 6RSmzYt2
2025-06-06 17:35:06,927 | INFO | 🚀 spawn tracker FVdVcTbH
2025-06-06 17:35:06,931 | INFO | 🚀 spawn tracker 3Pnem89H
2025-06-06 17:35:06,934 | INFO | 🚀 spawn tracker 2qzM9kNH
2025-06-06 17:35:06,937 | INFO | 🚀 spawn tracker ELGZNwwE
2025-06-06 17:35:06,941 | INFO | 🚀 spawn tracker 54E283Bq
2025-06-06 17:35:06,944 | INFO | 🚀 spawn tracker 75GbgwEn
2025-06-06 17:35:06,947 | INFO | 🚀 spawn tracker 9QZH9jQT
2025-06-06 17:35:06,950 | INFO | 🚀 spawn tracker 2HSeDU1E
2025-06-06 17:35:06,961 | INFO | 🚀 spawn tracker BotiEaPG
2025-06-06 17:35:06,966 | INFO | 🚀 spawn tracker 4Hhzt6dR
2025-06-06 17:35:06,974 | INFO | 🚀 spawn tracker 91yQZ7y8
2025-06-06 17:35:06,988 | INFO | 🚀 spawn tracker CrGs35aF
2025-06-06 17:35:07,009 | INFO | 🚀 spawn tracker CUE6V3MA
2025-06-06 17:35:07,034 | INFO | 🚀 spawn tracker XvoFA5Ck
2025-06-06 17:35:07,056 | INFO | 📊 active trackers: 15
2025-06-06 17:35:42,859 | WARNING | Moralis HTTP 500
2025-06-06 17:35:42,962 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 17:35:42,963 | INFO | 📊 active trackers: 15
2025-06-06 17:36:15,813 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 17:36:15,815 | INFO | 📊 active trackers: 15
2025-06-06 17:36:49,015 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 17:36:49,016 | INFO | 📊 active trackers: 15
2025-06-06 17:37:23,465 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 17:37:23,467 | INFO | 📊 active trackers: 15
2025-06-06 17:37:58,293 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 17:37:58,295 | INFO | 📊 active trackers: 15
2025-06-06 17:38:33,973 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 17:38:33,974 | INFO | 📊 active trackers: 15
2025-06-06 17:39:09,143 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 17:39:09,144 | INFO | 📊 active trackers: 15
2025-06-06 17:39:42,826 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 17:39:42,827 | INFO | 📊 active trackers: 15
