timestamp,mint,sol_in_pool,sol_raised_total,progress,sol_flow,sol_accel,unique_buyers,top3_pct,lp_burn,whale_flag,buy_sell_delta,buy_pressure,sell_pressure,bot_like,migrated
2025-06-09T15:37:55.297846+00:00,DgxVfMD92iBXPYpA7rJPMGFEmQKVEBXQjJX27v12pump,6854.361177,6854.361177,100.0,0.0,0.0,0,0,False,False,0.0,0.0,0.0,False,True
2025-06-09T15:38:01.070772+00:00,DgxVfMD92iBXPYpA7rJPMGFEmQKVEBXQjJX27v12pump,6854.361177,6854.361177,100.0,0.0,0.0,0,0,False,False,0,0,0,False,True
2025-06-09T15:38:06.702049+00:00,DgxVfMD92iBXPYpA7rJPMGFEmQKVEBXQjJX27v12pump,6854.361177,6854.361177,100.0,0.0,0.0,0,0,False,False,0,0,0,False,True
2025-06-09T15:38:12.428954+00:00,DgxVfMD92iBXPYpA7rJPMGFEmQKVEBXQjJX27v12pump,6854.361177,6854.361177,100.0,0.0,0.0,0,0,False,False,0,0,0,False,True
2025-06-09T15:38:18.039642+00:00,DgxVfMD92iBXPYpA7rJPMGFEmQKVEBXQjJX27v12pump,6854.361177,6854.361177,100.0,0.0,0.0,0,0,False,False,0,0,0,False,True
2025-06-09T15:38:24.158014+00:00,DgxVfMD92iBXPYpA7rJPMGFEmQKVEBXQjJX27v12pump,6854.361177,6854.361177,100.0,0.0,0.0,0,0,False,False,0,0,0,False,True
2025-06-09T15:38:29.884758+00:00,DgxVfMD92iBXPYpA7rJPMGFEmQKVEBXQjJX27v12pump,6854.361177,6854.361177,100.0,0.0,0.0,0,0,False,False,0,0,0,False,True
2025-06-09T15:38:35.528501+00:00,DgxVfMD92iBXPYpA7rJPMGFEmQKVEBXQjJX27v12pump,6854.361177,6854.361177,100.0,0.0,0.0,0,0,False,False,0,0,0,False,True
2025-06-09T15:38:41.463913+00:00,DgxVfMD92iBXPYpA7rJPMGFEmQKVEBXQjJX27v12pump,6854.361177,6854.361177,100.0,0.0,0.0,0,0,False,False,0,0,0,False,True
2025-06-09T15:38:47.044538+00:00,DgxVfMD92iBXPYpA7rJPMGFEmQKVEBXQjJX27v12pump,6854.361177,6854.361177,100.0,0.0,0.0,0,0,False,False,0,0,0,False,True
2025-06-09T15:38:52.563587+00:00,DgxVfMD92iBXPYpA7rJPMGFEmQKVEBXQjJX27v12pump,6854.361177,6854.361177,100.0,0.0,0.0,0,0,False,False,0,0,0,False,True
2025-06-09T15:38:58.257695+00:00,DgxVfMD92iBXPYpA7rJPMGFEmQKVEBXQjJX27v12pump,6854.361177,6854.361177,100.0,0.0,0.0,0,0,False,False,0,0,0,False,True
2025-06-09T15:39:03.991045+00:00,DgxVfMD92iBXPYpA7rJPMGFEmQKVEBXQjJX27v12pump,6854.361177,6854.361177,100.0,0.0,0.0,0,0,False,False,0,0,0,False,True
2025-06-09T15:39:09.734481+00:00,DgxVfMD92iBXPYpA7rJPMGFEmQKVEBXQjJX27v12pump,6854.361177,6854.361177,100.0,0.0,0.0,0,0,False,False,0,0,0,False,True
2025-06-09T15:39:15.384125+00:00,DgxVfMD92iBXPYpA7rJPMGFEmQKVEBXQjJX27v12pump,6854.361177,6854.361177,100.0,0.0,0.0,0,0,False,False,0,0,0,False,True
2025-06-09T15:39:21.010461+00:00,DgxVfMD92iBXPYpA7rJPMGFEmQKVEBXQjJX27v12pump,6854.361177,6854.361177,100.0,0.0,0.0,0,0,False,False,0,0,0,False,True
2025-06-09T15:39:26.725444+00:00,DgxVfMD92iBXPYpA7rJPMGFEmQKVEBXQjJX27v12pump,6854.361177,6854.361177,100.0,0.0,0.0,0,0,False,False,0,0,0,False,True
2025-06-09T15:39:32.578709+00:00,DgxVfMD92iBXPYpA7rJPMGFEmQKVEBXQjJX27v12pump,6854.361177,6854.361177,100.0,0.0,0.0,0,0,False,False,0,0,0,False,True
2025-06-09T15:39:38.255466+00:00,DgxVfMD92iBXPYpA7rJPMGFEmQKVEBXQjJX27v12pump,6854.361177,6854.361177,100.0,0.0,0.0,0,0,False,False,0,0,0,False,True
2025-06-09T15:39:43.828653+00:00,DgxVfMD92iBXPYpA7rJPMGFEmQKVEBXQjJX27v12pump,6854.361177,6854.361177,100.0,0.0,0.0,0,0,False,False,0,0,0,False,True
2025-06-09T15:42:28.489591+00:00,DgxVfMD92iBXPYpA7rJPMGFEmQKVEBXQjJX27v12pump,6854.361177,6854.361177,100.0,6854.361177,6854.361177,0,0,False,False,0.0,0.0,0.0,False,True
2025-06-09T15:42:34.418713+00:00,DgxVfMD92iBXPYpA7rJPMGFEmQKVEBXQjJX27v12pump,6854.361177,6854.361177,100.0,0.0,-6854.361177,0,0,False,False,0,0,0,False,True
